Sno,Layer,Module,Epic,Story,Task,Description,Priority,Phase,Status,Notes
JSV2S1145,Optimization,Intelligence,CV Optimiser,Resume Tailoring,[Functional] Recompute the deterministic half of the document score after edits,"After SimG recommendations are accepted, recompute ATS parse readiness and keyword coverage on the edited CV so that portion of the document score is measured rather than projected.",,Phase 1.5,Review,"Raised 2026-09-05. The projected score after accepting edits is SimG's own estimate and is never verified - a true figure would need a second SimG call. But the ATS lens is 30% of the composite and BOTH its inputs are already deterministic: parseScore from lib/documents/ats.ts and keyword coverage by string match. Recomputing them turns roughly a third of the composite into ground truth at ZERO additional cost, leaving only the recruiter and hiring-manager lenses as estimates. Offered to the user 2026-09-05; not yet accepted. BUILT 2026-09-18. features/simg/measure.ts recomputes the ATS lens on the CV as it now stands - parse readiness from lib/documents/ats.ts and keyword coverage by word-boundary string match - so roughly a third of the composite becomes measurement rather than the model's opinion, at zero cost. Shown in the worklist labelled MEASURED beside the estimate, with the delta against what SimG claimed. THE 50/50 BLEND OF PARSE AND COVERAGE IS OURS, NOT SIMG'S - its own blend is not stated and cannot be recovered, so declaring ours makes the number reproducible and arguable where an opaque one would not be. Coverage is capped at the total so a model that miscounted its own baseline cannot push it past 100%, and the function returns null rather than inventing a denominator when no must-have total was reported. 7 unit tests. The recruiter and hiring-manager lenses remain judgement and are still labelled as estimates."
JSV2S1146,Intelligence,Intelligence,Post Qualification,Job Scorer Agent,[Functional] Drop Google Search grounding from scoring now the register is local,"Measure whether ScoreG still needs Google Search grounding once the sponsor licence is supplied deterministically, and drop it if the score quality holds.",,Phase 1.5,Blocked,"Raised 2026-09-05 from the JSV2S1127 brief, which estimated grounding at ~$0.09/run in added cache. The registry half of the visa pillar is now deterministic, so grounding is only earning its cost on the OTHER visa evidence - behavioural signals and recent-hire evidence. NEEDS A DECISION AND A PAID MEASUREMENT: npm run ai:bench bills a real scoring call, and comparing grounded vs ungrounded on the same job costs money. Not run unattended. Pair with JSV2S1051, which decides how much the registry half is worth."
JSV2S1147,Intelligence,Intelligence,Post Qualification,Job Scorer Agent,[Platform] Refresh the sponsor register on the daily schedule,Run the sponsor register refresh and alias audit as part of the scheduled pipeline so the local copy does not go stale.,,Phase 1.5,Review,"Raised 2026-09-05. npm run sponsors:refresh works and is idempotent (replace-in-one-transaction, with a >1000 row sanity floor that refuses to overwrite a good copy with a broken parse). Not yet wired into the GitHub Actions cron. The register is republished roughly monthly, so a weekly run is ample. fetchedAt is already surfaced in the prompt so a stale copy is visible rather than silently authoritative. BUILT 2026-09-18. .github/workflows/sponsors.yml, weekly at 04:00 UTC Sunday, well clear of the 00:30 pipeline. ITS OWN WORKFLOW rather than a step in daily.yml for two reasons: the register is republished roughly monthly so a nightly run would download 143k rows to change nothing, and a refresh failure must not fail ingestion - a stale register still answers, a failed pipeline brings back no jobs at all. The audit runs after every refresh and NOW EXITS NON-ZERO on a broken alias, so Actions emails on failure. That is the point of scheduling it: companies LOSE licences, and a stale alias would go on reporting `confirmed` for one that no longer exists - the worst failure this lookup has, because it tells the user to apply for a job they cannot take. NOT YET VALIDATED: needs DATABASE_URL and DIRECT_URL in GitHub Secrets and one manual workflow_dispatch run."
JSV2S1148,Insights,AI Usage Analytics,Usage & Cost Analytics,Spend Control,[Functional] Capture and sync the caps configured in each provider dashboard,"Record the spend and rate limits already configured in the Anthropic, Gemini, Apify, Supabase and Vercel consoles, and show measured usage against them, so the app knows the ceilings it is actually running under.",,Phase 1.5,Ready,"Raised 2026-09-05 on the owner's instruction. TODAY THE APP KNOWS ONLY ITS OWN CEILING - config/pipeline.ts SPEND_CEILING ($3/day, $50/month) - and is blind to the caps set in the provider consoles. Those bind FIRST and fail differently: ours stops the run cleanly, theirs returns a 429 mid-call. Rate limits (RPM/TPM) matter as much as spend caps, since a nightly burst hits them before it hits any budget. NEEDS INPUT: the caps cannot be read via API on most of these providers, so they have to be entered as config and kept in sync by hand - decide where that config lives and how staleness is made visible (the same fetchedAt problem the sponsor register has). Feeds JSV2S1134."
JSV2S1149,Intelligence,Intelligence,Post Qualification,Job Scorer Agent,[Functional] Optimise the ScoreG prompt now that pre-qualification screens domain,"Trim the ScoreG prompt of work the deterministic pre-qualification gate has already done, so scoring pays only for judgement it alone can provide.",,Phase 1.5,Ready,"Raised 2026-09-05 on the owner's instruction. Two things now happen BEFORE ScoreG that it still re-derives at token cost: the pre-qualification gate (ADR-0006) has already screened role, domain, experience and location deterministically - a job only reaches scoring if it PASSED - and JSV2S1127 now supplies the sponsor licence as fact. ScoreG is still carrying the full domain match bank and being asked to establish sponsorship. Candidate cuts: stop re-testing domain fit that the gate already passed, drop the sponsorship discovery instructions, and shrink the location rules to the preferred-city set. CAUTION: Pillar 2 Resume Match is a DIFFERENT question from the gate's domain filter - the gate asks ""is this job in the right domain?"", Pillar 2 asks ""does the candidate match it?"" - so cutting the domain bank outright would break scoring. Pair with JSV2S1053, which is blocked on the domain skill sign-off. Measure with ai:bench before and after; do not trim on intuition."
JSV2S1150,Insights,AI Usage Analytics,Usage & Cost Analytics,AI Spend,"[Functional] Reduce AI cost per application to ~$0.20, maximum $0.25",Find and fix the sources of AI spend that take one application from upload to a downloadable package above $0.25.,,Phase 1.5,Ready,"Raised 2026-09-05 from a MEASURED observation: an application cost ~$0.50 against a target of $0.20 and a hard maximum of $0.25. UNACCEPTABLE per the owner. Known suspects, largest first: (1) SimG runs on claude-opus-5 by default - it inherits MODEL_CV - and Opus is $5/$25 per Mtok against Sonnet 5 at $2/$10, so moving SimG alone should cut roughly 40% of the package; MODEL_SIMG now exists to do that without a code change. (2) CV generation is also Opus 5. (3) Google Search grounding on every scoring run, ~$0.09/run in added cache - JSV2S1146. (4) The CVG system prompt carries the full skill plus master resume (~5k tokens) and is only cached on Anthropic. MEASURE FIRST: the cost card now splits scoring / documents / SimG with the model beside each figure, so the leak is observable rather than guessed at. Do not trade quality blindly - pair every reduction with JSV2S1151 so a cheaper run that scores worse is caught. 2026-09-18 MEASURED, and it contradicts the earlier assumption. The spend dashboard over all data: total $1.73 = Job scoring $1.37 (79%, 11 runs, ~$0.125 each) + CV+CL $0.17 (1 run) + SimG $0.18 (1 run) + Apify $0.01. SCORING IS THE LARGEST LINE, not SimG. A full application is roughly $0.125 score + $0.17 CV/CL + $0.18 SimG = ~$0.48, which matches the owner's observed $0.50. To reach $0.25, moving SimG to Sonnet alone is NOT enough (~$0.34); CV generation would also need to move, or scoring needs the JSV2S1149 trim. Note 11 of 13 AI runs were grounded scoring calls, so JSV2S1146 bears directly on the largest line."
JSV2S1151,Intelligence,Intelligence,Post Qualification,Quality Benchmark,"[QA] Benchmark ScoreG, CVG and SimG against the measured Claude Console baseline","Run the same jobs through the app that were previously run by hand in the Claude Console, and compare the score, the generated CV and cover letter, and the SimG evaluation against those known-good outputs.",,Phase 1.5,Ready,"Raised 2026-09-05 on the owner's instruction - MUST BE DONE BEFORE MVP2 IS SIGNED OFF. The owner has real Claude Console outputs for jobs he can re-upload, which makes this a real baseline rather than a subjective read. A CONCRETE DATAPOINT ALREADY EXISTS: for the GoCardless Senior PM role, after accepting 7 recommendations the Console skill scored 84 and gave a borderline PASS on the hiring-manager lens - the app should land close to that, and a large gap means the ported prompt lost something. Cover all three skills separately, since they now run on different providers: ScoreG on Gemini, CVG and SimG on Anthropic. This is the control for JSV2S1150 - cost reduction without a quality baseline is just quality reduction. Distinct from JSV2S1135, which compares providers against each other; this compares the app against a known-good human-run result. ADDED 2026-09-05 by the owner: OUTPUT QUALITY IS NOT SATISFACTORY EVEN ON OPUS 5, and the Claude Console produces better output than the API FOR THE SAME MODEL. That gap is the primary thing to explain, and it is not a model choice - candidates: the Console applies its own system prompt and harness on top of the skill; extended thinking may be configured differently; sampling defaults differ; a Console conversation carries context the API call does not; and our prompt is a PORT of the skill, not the skill itself - DELIVERY_OVERRIDE, the output contracts and the length budget were all added by us and change the instruction the model actually receives. Diff the exact prompt sent (ai_jobs.prompt stores it verbatim) against the Console skill before concluding anything about the model. Cost work (JSV2S1150) must not start until this baseline exists."
JSV2S1152,Application,Application Management,Application Detail Screen,Application Detail Screen,[Frontend] Show the raw job description with the gate matches highlighted,"Open the job description as ingested, with every term the pre-qualification gate matched highlighted in place, so a verdict can be checked against the source text rather than trusted.",,Phase 1.5,Review,"BUILT 2026-09-17. components/applications/raw-jd-dialog.tsx and features/prequalification/highlight.ts. RECORDED LATE 2026-09-18: the ID was cited in code from the start but the backlog row was never created, so the work was untraceable. Needs the owner's eyes to leave Review."
JSV2S1153,Ingestion,Job Ingestion,Pre-Qualification,Filtering,[Functional] Filter the pre-qualification queue by deciding factor and date,"Filter the review and rejected queues by which filter drove the verdict and when it was judged, so the gate can be tuned against real volume rather than inspected one job at a time.",,Phase 1.5,Review,"Raised and BUILT 2026-09-17 on the owner's instruction, from the questions ""all rejected jobs last week because of experience"" and ""all review jobs yesterday because of domain"". Two dimensions over the existing view: factor (role/domain/experience/location, multi-select, toggling) and window (today/yesterday/last 7/last 30/any). FILTERS ON decidedBy, NOT ON ANY FAILING FILTER - the Axon job failed both domain and experience, but domain decided it; counting it under experience as well would double-count and send tuning after the wrong rule. Per-factor counts are shown beside each chip so an empty facet is visibly empty rather than a dead end, and the empty state distinguishes ""nothing matches these filters"" from ""the queue is clear"". State lives entirely in the URL, so a filtered view is linkable and the back button works. ""Yesterday"" is bounded on BOTH sides - an open-ended lower bound is the commonest way a date filter lies. Window vocabulary lives in lib/config/constants.ts rather than queries.ts, which opens a database connection at import and would break the unit suite."
JSV2S1154,Ingestion,Job Ingestion,Pre-Qualification,Filtering,[Functional] Correct the experience over-qualification guard,"Stop rejecting jobs whose stated experience minimum is open-ended, and relax the seniority floor when the title itself reads as senior.",,Phase 1.5,Completed,"Raised and FIXED 2026-09-17 from a real false negative the owner spotted. The guard read `found.max ?? found.min`, which treated an OPEN-ENDED minimum as a ceiling: ""4+ years"" has no top, but the fallback made the top 4, and 4 < the 5-year floor failed a nine-year candidate. MEASURED COST across the 95 stored jobs: four rejected outright - a Wise Senior PM role in London and two Ebury payment-screening roles among them - which is 6% of the reject pile, biased toward exactly the employers worth having, because fintechs write ""4+ years"" far more often than ""8-12 years"". Only a CLOSED range can indicate a junior role now. Second change, on the owner's instruction: a primary-tier title outranks a low stated minimum, so ""Senior Product Manager, 2-4 years"" routes to REVIEW rather than reject - relaxed, not blind, and ABOVE_CEILING still fails whatever the title says. Replayed over the stored corpus: 64 rejects -> 60, Wise and both Ebury roles now PASS, 9fin moves to review where domain is its real limiter. Axon stays rejected, correctly. Also corrected the DOMAIN_GATE doc comment, which still described pass:5/review:2 and had been untrue since the gate was lowered on 2026-09-04. VALIDATED 2026-09-18 against the live database: the corrected guard was replayed over the whole corpus, 81 jobs re-judged, rejects 64 -> 60, and the three false negatives (Wise and two Ebury payment-screening roles) now hold applications. Axon stays rejected on domain, correctly."
JSV2S1156,Ingestion,Job Ingestion,Pre-Qualification,Filtering,[Functional] Add a visa-signal pillar to pre-qualification,"Add a fifth deterministic filter that looks for a hard visa or sponsorship signal in the job description, so a job with no sponsorship language is screened out before any AI spend, and ScoreG can stop establishing it.",,Phase 1.5,Review,"Raised 2026-09-17 on the owner's instruction. PULLED INTO PHASE 1.5 2026-09-18 at his request. NEEDS A DECISION ON SILENCE BEFORE IT CAN BE BUILT: most London / Amsterdam / Berlin descriptions say nothing about visas at all, so a pillar that screens out everything without sponsorship language would reject nearly the whole intake - the same failure mode as the Axon rejection. The signal must be THREE-STATE: an explicit refusal (""must already have the right to work"", ""we cannot sponsor"") rejects; an explicit offer passes and is recorded; SILENCE PASSES and is recorded as unknown for ScoreG to judge. Only then does it let ScoreG stop establishing sponsorship (JSV2S1149) and pair with the local register (JSV2S1127). DECIDED 2026-09-18 by the owner: the pillar exists to catch EXPLICIT POSITIVE AND NEGATIVE LANGUAGE, not to infer from silence - a clear ""no visa sponsorship"" callout rejects before any AI spend, and that is the whole point. He will supply a markdown file of the phrasings. IMPLEMENTATION NOTE: this is deterministic pattern matching, so it belongs in config/prequalification/ as config - NOT in /prompts, which is prompt text for models (ADR-0002, ADR-0006). 2026-09-19: the owner has the phrasings in a markdown file, to be supplied. DESIGN CONCLUDED 2026-09-19, recorded in the ADR-0006 revision. Three outcomes: REMOVE rejects, KEEP passes, REVIEW passes - and SILENCE IS REVIEW, never REMOVE. Built from the owner's specification file; two headings in it say HARD REMOVE while their bodies say REVIEW (existing-authorisation, permanent/unrestricted) - THE BODIES ARE RIGHT. The UAE need is met by that conservatism rather than by a bypass: existing-authorisation and local-only are already REVIEW, so a UAE exception would only add a hole for Emiratisation. UAE needs a DICTIONARY instead - NOC, transferable visa, spouse visa, must be currently in UAE, UAE Nationals only. Retires mentionsSponsorship() in apify-linkedin.ts in the same change. BUILT 2026-09-19. config/prequalification/visa.ts (rules as data) + features/prequalification/visa.ts (engine). 40 unit tests, including the specification's own §25 cases verbatim. TWO BUGS FOUND BY TESTING MY OWN CODE: the positive patterns matched THROUGH negations and hedges, so ""sponsorship is NOT available"" registered as an offer and, being an offer beside a refusal, resolved to CONTRADICTORY - the three clearest refusals in the spec were the ones the filter failed to act on. And the proximity rule split on spaces, so ""unable,"" and ""sponsorship."" were tokens matching nothing, and §17 never fired on any sentence with punctuation. Both fixed; both now have tests. mentionsSponsorship() retired from the actor. NEEDS THE OWNER: confirm the UAE dictionary covers the phrasings he sees."
JSV2S1157,Ingestion,Job Ingestion,Pre-Qualification,Filtering,[Functional] Clear the review and rejected piles into a Bin,"Dismiss screened-out jobs individually or in bulk. A soft delete: the job leaves the working queues but keeps its row, verdict and evidence in the database for a future Bin view.",,Phase 1.5,Completed,"Raised and BUILT 2026-09-17 on the owner's instruction. Migration 0009 adds raw_jobs.binned_at, applied. Per-row checkboxes plus select-all in one real form, so a single job and a bulk selection use the SAME action - the difference is how many boxes are ticked, not which endpoint is called. SOFT, NOT HARD, for two reasons. The verdict is evidence worth keeping and a rules change may deserve to reconsider it. More practically, a hard delete takes the FINGERPRINT with it, so the same job would be re-ingested and re-presented on the next fetch - the pile would refill itself with exactly what was dismissed. Binned jobs are excluded from listForReview, getFacets, countForReview and countAwaitingReview, and ALSO from requalifyStale: without that, a rules change would re-judge a binned job, promote it to PASS and resurrect something deliberately dismissed. Binning a job that has already become an application is REFUSED rather than skipped silently - it would hide the job while leaving the application pointing at a row the UI treats as deleted. restoreJobs() exists for the future Bin view. Verified against the live database: bin removes it from the rejected list, the row and verdict survive, a promoted job returns 0, and restore puts it back. VALIDATED 2026-09-18 against the live database: binning removed the job from the rejected list while its row and verdict survived with binned_at stamped, binning an already-promoted job returned 0, and restore put it back. The pipeline counts were corrected the same day to exclude binned jobs, so every screen now reconciles."
JSV2S1158,Ingestion,Job Ingestion,Platform Foundation,Observability,[Functional] Track per-run outcomes against an ingestion run id,"Give every upload and fetch a run id, attribute each ingested job to it, and report what became of that batch: ingested, auto qualified, force qualified, needs review, screened out, moved to Bin.",,Phase 1.5,Completed,"Raised and BUILT 2026-09-17 on the owner's instruction. Migration 0010 adds raw_jobs.ingestion_run_id (nullable, ON DELETE SET NULL so losing a run never takes its jobs). MANUAL UPLOADS NOW CREATE A RUN - they previously persisted nothing about themselves, so ""which upload brought this job in"" had no answer. THE DESIGN POINT IS THE SPLIT between stamped and derived. Stamped on ingestion_runs: fetched, inserted, duplicates, rejected-at-validation - facts about what the run SAW, most concerning rows that never became a raw_jobs record, so if not recorded as they happen they are gone. Derived live: auto qualified, force qualified, needs review, screened out, binned - these describe the CURRENT STATE of jobs that landed, and that state keeps changing long after the run (promoted Tuesday, binned Friday). Stamping them would freeze a number wrong within the hour and force every later action to update a counter on a run it knows nothing about. Auto vs force qualified is whether the GATE said pass or a human overrode it from the review/reject pile. Counting is done in Postgres with `filter (where ...)` in one grouped query - pulling jobs back to count them in JS would move thousands of rows to produce six integers. NOTE: 95 existing jobs predate run tracking and belong to no run. That is surfaced explicitly on the page rather than hidden, because a table whose totals silently disagree with the queue counts is worse than no table. VALIDATED 2026-09-18: four runs recorded with distinct ids, every job in the database attributed to one (0 unattributed), and the funnel reconciles per run. Run attribution now appears on the pipeline table, the review queue and the applications list, and is filterable on both queues as the Fetch facet."
JSV2S1159,Application,Application Management,Filtering,Filtering,"[Functional] Filter the applications list by factor, fetch and date","Apply the pre-qualification filter panel to the applications list, keyed to the application context, with the ingestion run id available alongside the date.",,Phase 1.5,Review,"BUILT 2026-09-17 on the owner's instruction, extending JSV2S1153 to a second surface. Shares components/ui/filter-panel.tsx and components/ui/date-range.tsx, so both screens cannot drift. RECORDED LATE 2026-09-18: cited in code, never in the backlog. Needs the owner's eyes to leave Review."
JSV2S1160,Application,Application Management,Application Detail Screen,Theming,"[Frontend] Light, dark and system theme toggle","Offer three theme states rather than two, applied before first paint, so the artwork backdrop and the console are legible in either.",,Phase 1.5,Review,"BUILT 2026-09-18 after the owner reported the artwork was invisible. Three states, because a two-way switch destroys ""follow the OS"" the first time it is touched. Tailwind's built-in dark variant keys off prefers-color-scheme alone, so a @custom-variant was needed or half the page would have switched and half not. SITS ON BRANCH redesign/detail-screen, NOT main - it is discardable with the rest of the redesign."
JSV2S1161,Ingestion,Job Ingestion,Job Ingestion,Periodic Execution,"[Decision] Fix the daily schedule, the fetch locations and the per-location limits","Settle the run time, the countries fetched, the input parameters and the result limit for each, as the standing configuration for the daily run.",,Phase 1.5,Blocked,"Raised 2026-09-18 on the owner's instruction. NEEDS DECISION. Today config/pipeline.ts holds London / Amsterdam / Berlin, last 24 hours, totalLimit 100 divided across locations, and .github/workflows/daily.yml runs at 06:00 IST - all provisional. INCLUDES the individual-vs-combined pull: the orchestrator currently runs ONE ACTOR CALL PER LOCATION, isolated and sequential. Apify bills $0.001 per actor start plus $0.0004 per result, so three starts cost $0.002/day more than one - about $0.06 a month. The actor also takes a SINGLE location string, so a combined pull would forfeit per-location limits and per-location failure isolation for that $0.06. Recommendation: keep individual. Pairs with JSV2S1016. DECIDED 2026-09-18 by the owner: INDIVIDUAL PULL PER LOCATION, confirming the built behaviour. Planning figure is ~250 jobs per location across 6 locations = ~1500/day = $0.61/day in Apify. STILL OPEN: the run time, the three locations beyond London / Amsterdam / Berlin, and the per-location limit. SEE THE CEILING CONFLICT recorded on JSV2S1137 - this volume is incompatible with SPEND_CEILING as configured. LOCATIONS NAMED 2026-09-19 by the owner: Luxembourg; United Kingdom (London, Manchester); Berlin; Amsterdam; UAE; Ireland; Lisboa. All seven already resolve inside the gate - UK, EU and UAE are target regions and Manchester, Dublin, Lisboa and Dubai are already PREFERRED_CITIES, so nothing here needs a locations.ts change. TWO PROBLEMS WITH THE PROPOSED GROUPING: (1) Manchester appears in the location list but not in any of the five runs. (2) Run 5 groups Ireland + Lisboa + Luxembourg into ONE call, which the actor cannot express - buildInput sends a SINGLE `location` string, so a grouped run means either three runs or one country-level string that cannot be controlled. RECOMMENDATION: eight city-level runs, each with its own limit. Actor starts cost $0.001 each, so eight runs cost $0.008/day in starts - the bill is driven by RESULTS, not runs, and a per-city limit is the only way to stop London flooding a shared cap and starving Manchester, Dublin and Luxembourg of any share at all. PER-RUN LIMITS STILL OPEN."
JSV2S1162,Ingestion,Job Ingestion,Pre-Qualification,Filtering,[Functional] Favourable company list as a pre-qualification input,"Maintain a list of companies the owner actively wants to work for, and let membership influence the gate verdict.",,Phase 1.5,Review,"Raised 2026-09-18 on the owner's instruction. NEEDS DECISION on strength: a BOOST (a favoured company that fails a pillar lands in review rather than rejected) or a BYPASS (it passes the gate outright). Recommendation: boost to review, never auto-pass - a bypass is a hole in the gate and would spend AI on a job that failed a deterministic check. DISTINCT FROM the sponsor register (features/sponsors/), which answers ""can this company sponsor""; this answers ""do I want to work there"". Keep the two lists and the two questions separate. DECIDED 2026-09-18 by the owner: NO AUTO-PASS. A favoured company is an IDENTIFIER that routes the job to review regardless of the other pillars - it never passes the gate on its own and never skips a deterministic check. 2026-09-19: the owner has the list in a markdown file, to be supplied. SCOPE CLARIFIED: these are companies KNOWN TO HAVE SPONSORED IN THE PAST, which is evidence, not preference - so it overlaps the sponsor register (features/sponsors/) and the two must be reconciled rather than duplicated. The register answers ""does this company hold a licence today""; this list answers ""have they actually used it"". A watchlist hit routes to review. DESIGN CONCLUDED 2026-09-19. A SIGNAL, NOT A PILLAR - it can never reject and a miss is just no bump, so ""all pillars passed"" keeps one meaning. Append-only. Matches on the raw_jobs.company COLUMN, never on description text, which removes the collision where the company Visa and the word visa are the same token. Visa and Mastercard come OFF the list: the owner judges those to be internal lateral moves, not sponsorship paths from India, and Mastercard's whole evidence was one profile. The source file is five overlapping lists and needs an audit script on the sponsors:audit pattern before it becomes config - 9 of 24 hand-written sponsor aliases were wrong last time. BUILT 2026-09-19. config/companies/watchlist.ts, 78 companies across 5 tiers. npm run companies:audit passes with no collisions or duplicates. Matches on raw_jobs.company only. Visa and Mastercard omitted per the owner. Hive, Rally and STARK omitted: all three are ordinary words that would collide with unrelated employers, and all sit in tiers that earn no benefit. NEEDS THE OWNER: the tier-4 floor for skipping scoring (WATCHLIST_SKIP_SCORING_TIER) was set in his absence and is one constant to move."
JSV2S1163,Ingestion,Job Ingestion,Pre-Qualification,Filtering,[Frontend] Domain keyword and tier administration screen,"Show every domain keyword the gate uses with the tier it belongs to, and allow the set to be altered from the dashboard.",,Phase 1.5,Review,"Raised 2026-09-18 on the owner's instruction. NEEDS AN ARCHITECTURE DECISION FIRST. Today the keywords live in config/prequalification/ as code, and CONFIG_VERSION hashes them together with ENGINE_REVISION - that hash is what makes a verdict reproducible and tells requalifyStale which jobs to re-judge. Moving the set to database rows breaks all three unless the keyword set is versioned and stamped on every verdict. Option A: read-only view of the compiled config, edits by change - cheap, keeps ADR-0006 intact. Option B: editable, with a versioned keyword set, a stamped keywordSetVersion per verdict and an automatic requalify on change - the real feature, materially more work. Pairs with JSV2S1053, which decides the CONTENT of the set. DECIDED 2026-09-18 by the owner: OPTION A, READ-ONLY, for MVP2 - the screen shows every keyword and its tier as compiled from config, and changes still go through code. He has explicitly flagged that this must become configurable without a code change later, which is Option B and keeps its versioning requirement: a versioned keyword set, keywordSetVersion stamped per verdict, and automatic requalification on change. BUILT 2026-09-19 as Option A, read-only. app/(dashboard)/rules/page.tsx, linked from the header. Reads the COMPILED config rather than a copy of it, so the screen cannot drift from what the gate runs - every keyword, tier, multiplier, section weight, restricted term, negative term, and both company lists, with the engine revision and config hash printed at the top. Option B still needs exactly what was recorded before: a versioned keyword set, keywordSetVersion stamped per verdict, and automatic requalification on change."
JSV2S1164,Scoring,Job Scoring,Job Scoring,Job Scorer Agent,[Functional] Trim the ScoreG output to what is read,"Shorten and de-duplicate the prose ScoreG returns, keeping the score structure unchanged, so the detail screen carries no redundant or over-long text.",,Phase 1.5,Blocked,"Raised 2026-09-18 on the owner's instruction - the owner will finalise the wording. NEEDS HIS COPY DECISIONS. Output tokens are billed, so this is a cost lever as well as a reading one, and it feeds JSV2S1150. Structural change to the visa job score is OUT OF SCOPE by the owner's explicit instruction: the components stay exactly as they are."
JSV2S1165,Application,Application Management,Application Detail Screen,Application Detail Screen,[Frontend] Show the pre-qualification verdict on qualified applications,"Show the gate output - each pillar, its verdict and the evidence that drove it - on applications that PASSED, not only on the review and rejected queues.",,Phase 1.5,Review,"Raised 2026-09-18 on the owner's instruction. Today the pillar-by-pillar output is visible only where a job was held or screened out, so a PASS is the one verdict that cannot be inspected - and a pass is what spends money. Pairs with JSV2S1152, which already highlights the matched terms in the raw description. BUILT 2026-09-19. GateVerdictPanel on the application detail screen. ALSO FIXED A FALSE ASSERTION FOUND WHILE BUILDING IT: the screen printed ""Sponsorship in posting: Not mentioned"" from visaSponsorshipMentioned, which the actor no longer populates - it would have read ""Not mentioned"" on every job from now on. It now reads the gate verdict."
JSV2S1166,Application,Application Management,Pre-Qualification,Pre-Qualification Screen,[Frontend] Rework the pre-qualification and review screen for the new pillars,"Surface the visa-language signal and the watchlist identifier on the review screen alongside the existing four pillars, so a verdict can be read at a glance once the gate has six inputs rather than four.",,Phase 1.5,Review,"Raised 2026-09-19 on the owner's instruction, to be done WITH JSV2S1156 and JSV2S1162 rather than after them - the screen is how those two pillars get verified at all. NEEDS HIS DESIGN INPUT on what changes. Pairs with JSV2S1165, which puts the same output on qualified applications, and JSV2S1152, which highlights the matched terms in the raw description - the visa phrases are exactly the kind of match that needs to be shown in place rather than asserted. BUILT 2026-09-19. Review screen shows the visa verdict with the SENTENCE it acted on, the watchlist bump and the affinity override. Silence is deliberately not badged: a badge on every job reading ""nothing said about visas"" would be noise on hundreds of rows."
JSV2S1167,Ingestion,Job Ingestion,Pre-Qualification,Filtering,[Functional] Payments-core company list to soften domain rejection,"Maintain a list of companies whose payments relevance is known independently of the JD, and soften or override a domain FAIL according to how central payments is to that company.",,Phase 1.5,Review,"Raised 2026-09-19. Domain is the one straight-reject pillar and it reads keywords from the JD, so a generic ""Senior Product Manager"" posting at Adyen or Checkout.com - which often carries no payments vocabulary because there it goes without saying - is rejected outright. THE THIRD COMPANY LIST, and deliberately not the other two: the register asks whether a company holds a licence, the watchlist whether it has sponsored, this one whether payments is its core business. ~25 names. NEVER a pass - domain FAIL at a listed company goes to REVIEW. The owner also wants large marketplaces with real payments organisations (Booking.com) included, which is ScoreG's +5 affinity tier rather than +10; expect a larger review pile in exchange, and tighten to core-only if it floods. REVISED 2026-09-19 after the owner observed that Adyen, Revolut and Checkout JDs almost always do carry payments vocabulary, so a miss there is a rare exception. TWO TIERS, on ScoreG's own +10/+5 affinity line: TIER A (payments IS the business) - domain FAIL PASSES, marked with rule DOMAIN_UNEVIDENCED_COMPANY_AFFINITY and the company as evidence. TIER B (significant payments arm - Booking.com, Delivery Hero, Zalando, noon, Careem, banks, marketplaces) - domain FAIL goes to REVIEW, because there a domain miss is the NORMAL case and a blanket pass would convert most of their PM output into applications. SCOPED TO THE DOMAIN FILTER ONLY, never a whole-gate bypass. BUILT 2026-09-19. config/companies/payments-core.ts, 62 companies in two tiers. Tier A domain FAIL passes marked; Tier B goes to review. Scoped to the domain filter - a test asserts an Adyen posting in Texas still rejects on location."
JSV2S1168,Scoring,Job Scoring,Job Scoring,Job Scorer Agent,[Functional] Gate-qualified applications are unscored until asked,"A job passing every filter and hitting the watchlist becomes an application with no automatic scoring call, carrying an explicit unscored state and an on-demand button to run ScoreG.",,Phase 1.5,Review,"Raised 2026-09-19 on the owner's instruction. A NEW MATCH CATEGORY, gate_qualified - NOT a flat 80. matchCategoryFor is a pure function of the score, so a placeholder number would derive an ""Apply"" verdict and a referral recommendation from arithmetic nobody performed, sort against real scores and average into spend reporting. Precedent is in the skill already: ""Source = Recruiter Inbound - skip scoring entirely, auto-classify as PRIORITY"" assigns a CATEGORY, never a score. The manual run must go through settleAiJobs like every other write, and must check the budget before the call. Whether a job that passes the filters WITHOUT a watchlist hit should still auto-score is ON HOLD by the owner. BUILT 2026-09-19. gate_qualified added to MATCH_CATEGORIES; stamped at ingest when the watchlist hit skips scoring; excluded from the nightly pass. BUG CAUGHT IN REVIEW: the exclusion was written as ne(matchCategory, gate_qualified), and SQL inequality is null-blind - every ordinary unscored application has a NULL category, so that clause would have silently excluded ALL of them and disabled scoring entirely. Now or(isNull(...), ne(...))."
